platform	ordinal	original_commit	filtered_commit	retained_import_commit	full_tree_delta_sha256	projected_tree_delta_sha256
macos	23	ae299a22ed5ce36aae7b8c17268673285995177e	336bc6e59ab1d2e39623624b51114539fed079ef	e0677fee334ea9353fe776a6608b80c19518d48d	74b83ea8f21a281fbba036fd3d754e60ee7763d7bba31ec7032b7367a14e991d	887aa0444b20a5d1b86f1c750593b4149dcc58f21da2b620b9986dca6bd815cc
macos	24	de8bfd44d678f37f55b13211ece1028d15f0f7d8	8f9236ce5a2ba17833135142d4e750b90f899d9c	fcd4cf6041f6dafb1f7057a6667e7473cfeeb4ff	b6e0804bf3eb45c266d34e2152de34f0f7f5fe33f40452fcf4e79220d6324dc1	921702c8725ff924f6c146fdfb2d75da1aa0bae218a0fba27520db51fcd1ed50
macos	25	71c02107ea8feb42f64aa23fabfa739d50666658	cc55c0bc2ff90001f6e33b79acf1a0eb1759e46d	7a5c323fc4ff61cf30abb5915d3c4e162323190c	3fc849966895bdee668d1053f9cd5ef7e5afc8a9da19fbbc0a1e35c7be4de6b0	d942a715f348c0c7f06d9dde7930fb9bdad86e6d6f44f2144c066f1d33c03b63
macos	26	31c6a778889df0e94dc09babcb22751d7978c0f8	63e843a03829eacf396f9017494d54a91388d4ef	abd0f0077290d9b1160c5000d3084754ad0b5e81	c6402652181c730ffe845c03eb71978d8c9099ea55268fde666bd6b592ce588c	5a9f211d4c1eb94a0f0c1aadfd17c1445e38977f40d6cf4901722c0bad239476
macos	27	e43c8d692207410e79fc572ff3289dee65d12b06	106e20bc7ad4ce207416c17b6278a54211927b7d	40eabb95186d2acdb53d220d07cb7bdf6b84c1f0	24e26b8374fb74db12134621f49b6417ed084138457765d84ce439cc38bc9de6	33af6bce877f05c904960a9413c5184213bc3987387321b18d0270099c520400
macos	28	0c100630162805d9e2a6533591e0377332ae8f76	7f6939addefde573efaa1a7c50e7599485ff757b	71580c2c3417c5d10f78d097b902dd8742e5b1a9	8973bb38d5eaf519e84b07e0c551dea19d181f8587a4482a05e546725e3cba2f	f55cfd2af24821352bf40b19694a31ae0167cbbd7cf16cb1e04065fb1b8cc5d5
macos	29	98243555ee5b308941e7e45b0b795859985aedbd	455594c415c44e6d86a84a326d4dc93b43528fdb	a614eb2863f0309c096cf8f2764058930204a0f7	7748516dca68fa970eac80997e9f824122c9cf4f51055c983508287185742cf7	a3f76e93bac406011eeb11a97a0b5bd00a46ab3cf4c31a26dced263f79a0d1ad
macos	30	235719bdd8b153be0212684c9e8cdaa3e61941a3	d68c8e4980c3c2f122541bb649457f175082cdf6	aeca2a19054ecf637590db0d635f0a382c426a48	5bf50b65a63e7e4bbac4c180c988b60a74b2aaa6d32fda9dc751e28d023c5b3f	50b8989995dac644b2c5cd54036dfea9e0a770a1205ac89533df90a21ff0a9fd
macos	31	3e7f40de2f65f593193e10152cdd9ffabbfd11d7	ba913d4b0655441ced5b6603d0d5a26eb0382692	d3a1367fcdefa39f1cac61c90f9bc31c044bbd1d	53d902483e0a7b3724a55d5ba9753e13f1da10f0c8ef3b30ca6f486583e38c2c	19204471b277ad69b8ab26c384ed09c94ad94b0f83b55035bc5e0f736ed8cfee
macos	32	9f674fef0a9a2dfffb9ec8470f899dc724daefcc	4ee33b72f8bd9af979b03dc4ade17f0436411559	263d1e196fa035e21e9159d14f396fe3818a1c25	79ba2ebb81ce5ec2ca77d31bf7a1ad151b966ceadc0f0462866d2866d67acaba	4afda15ed174737e24ec88125c782678caca2c9250ecff0b5fd09024dd72fad2
macos	33	0a61a029e45b3ab5dd4bd8c4a6965e6d230f5368	ef3efeaf166f97030a74bb883952e61b9c3d62ee	e5ba07ab365977b5419c91e28fefa2277e25f3ac	aebd512991cb1b856477291b76ec25b3fc2388a93baea08f3c394ad5dd6a5a99	9b550d820472b3cab03833840061b6683f75aa8c60b240b6376e5a0168d2d610
macos	34	1c0b9c956b133f6b52ec8f7f5e114ca4f7d4026c	20834cfb6bb72adb8c19607987bfaa59aa34b5ac	5de09c8773db9a1973e650b670c5945374f8aade	d2c7679f5430e0adedb1c76c5f531f0019ee1688e08faf6bf909ec9baeb39bd5	7ecf1b4252d8255426c5c8c7cdc839c2207c1998366b80b81c58df5fa032fdd2
macos	35	d522eec96b9809c6fc934be9de8ce2e35c9faba9	bd99d4a2dc9e545b8e155f61723fcdfa60df7593	0929e4ebfa6ab7b4eacf052fd05f00f77bc7f38f	e346d28597520c0ff6408701f9b6d8390babb31299ed6e9c1a89f8eff7fdfe3d	7a8c69706196ecd1f2dd6dfe3cb6da1b6295e6b9dc3dede9419232410718aba9
macos	36	0703e8df26c975a187cb6f36b8dfb21df8bcc6db	5d831beeb147072b815f80643400f0a60c8654ce	604c6e8702c4e3914e862bee58ab35f529866737	23af92c375bf3401e827708ae2a80c11a35a3e78c6d1e453a0b245e47241e5c0	d9c7d4aa6955bb9c6fad9ed139df708a63640663a99778fff72434510acb1cb5
